t,pos_x,vel_x,pos_y,vel_y,pos_z,vel_z,meas_ax,meas_ay,meas_az
9.34,0,0,0,0,0,0,-8.63491,-1.87279,-3.21476
9.435,0,0,0,0,0,0,-6.5668,-1.20257,-3.25305
9.531,0,0,0,0,0,0,-8.09873,-2.88769,-3.2722
9.631,0,0,0,0,0,0,-8.04129,-1.33661,-3.29135
9.725,0,0,0,0,0,0,-7.37107,-0.704688,-3.88498
9.825,0,0,0,0,0,0,-7.75405,-2.10258,-2.12326
9.92,0,0,0,0,0,0,-7.37107,-2.38981,-1.70198
10.015,0,0,0,0,0,0,-6.73915,-3.28982,-1.68283
10.11,0,0,0,0,0,0,-6.87319,-0.4366,-2.52539
10.205,0,0,0,0,0,0,-7.35192,-1.71959,-3.54029
10.305,0,0,0,0,0,0,-7.33277,-2.06428,-2.60198
10.398,0,0,0,0,0,0,-7.50511,-2.35152,-1.07006
10.495,0,0,0,0,0,0,-6.6434,-2.21747,-2.3722
10.595,0,0,0,0,0,0,-6.98808,-0.360003,-2.94667
10.69,0,0,0,0,0,0,-7.16043,-1.41321,-2.71688
10.785,0,0,0,0,0,0,-7.12213,-1.04938,-1.2807
10.883,0,0,0,0,0,0,-6.01148,-2.31322,-1.74027
10.98,0,0,0,0,0,0,-5.85829,0.0804262,-3.15731
11.075,0,0,0,0,0,0,-5.97318,-1.6047,-1.39559
11.17,0,0,0,0,0,0,-6.24127,-1.37491,-2.1807
11.27,0,0,0,0,0,0,-5.81999,-0.819582,-1.39559
11.363,0,0,0,0,0,0,-5.87744,-1.08767,-1.87432
11.46,0,0,0,0,0,0,-5.93488,-1.48981,-2.98497
11.555,0,0,0,0,0,0,-5.22637,-0.474898,-2.98497
11.655,0,0,0,0,0,0,-5.5136,-1.37491,-1.1275
11.75,0,0,0,0,0,0,-5.5519,0.0804262,-1.87432
11.845,0,0,0,0,0,0,-5.76254,-0.857881,-1.51048
11.941,0,0,0,0,0,0,-5.13062,-0.857881,-2.1807
12.038,0,0,0,0,0,0,-5.24551,-0.742986,-3.19561
12.135,0,0,0,0,0,0,-5.09232,-1.94938,-1.91262
12.235,0,0,0,0,0,0,-4.95828,-0.513196,-1.83602
12.33,0,0,0,0,0,0,-4.537,-0.896179,-1.35729
12.425,0,0,0,0,0,0,-4.24976,0.157023,-1.75942
12.523,0,0,0,0,0,0,-4.4604,-0.781284,-2.85092
12.625,0,0,0,0,0,0,-4.76679,-1.45151,-2.48709
12.715,0,0,0,0,0,0,-4.28806,-1.85364,-1.87432
12.815,0,0,0,0,0,0,-4.65189,-0.742986,-2.06581
12.911,0,0,0,0,0,0,-3.90508,-1.6047,-2.41049
13.005,0,0,0,0,0,0,-3.98167,-1.01108,-1.39559
13.105,0,0,0,0,0,0,-4.4221,-0.398302,-2.06581
13.2,0,0,0,0,0,0,-3.61784,-2.06428,-1.64453
13.3,0,0,0,0,0,0,-3.94337,-1.6813,-1.51048
13.4,0,0,0,0,0,0,-4.01997,-0.87703,-1.58708
13.497,0,0,0,0,0,0,-3.50294,-0.972775,-1.54878
13.595,0,0,0,0,0,0,-3.65614,-0.781284,-1.47219
13.691,0,0,0,0,0,0,-3.54124,-1.6047,-1.35729
13.79,0,0,0,0,0,0,-3.23486,-1.20257,-1.54878
13.89,0,0,0,0,0,0,-3.19656,-0.245109,-2.14241
13.988,0,0,0,0,0,0,-3.42635,-0.589793,-1.47219
14.085,0,0,0,0,0,0,-3.31145,-1.10682,-0.89771
14.185,0,0,0,0,0,0,-3.46465,-0.666389,-1.72113
14.28,0,0,0,0,0,0,-3.15826,-0.264258,-1.2041
14.38,0,0,0,0,0,0,-3.06252,-0.628091,-2.41049
14.478,0,0,0,0,0,0,-2.98592,-0.168512,-2.02751
14.575,0,0,0,0,0,0,-3.27316,-1.29831,-1.1658
14.675,0,0,0,0,0,0,-2.90932,-0.87703,-1.72113
14.775,0,0,0,0,0,0,-3.42635,-0.187661,-1.2041
14.87,0,0,0,0,0,0,-2.71783,-0.551495,-1.35729
14.964,0,0,0,0,0,0,-2.71783,-1.20257,-0.782815
15.065,0,0,0,0,0,0,-3.02422,-0.857881,-1.1658
15.165,0,0,0,0,0,0,-2.52634,-1.26002,-1.72113
15.26,0,0,0,0,0,0,-2.83273,-0.819582,-1.54878
15.354,0,0,0,0,0,0,-2.75613,-0.819582,-1.2807
15.455,0,0,0,0,0,0,-2.52634,-0.589793,-1.58708
15.555,0,0,0,0,0,0,-2.64123,-0.168512,-1.39559
15.651,0,0,0,0,0,0,-2.52634,-0.896179,-1.1275
15.75,0,0,0,0,0,0,-2.52634,-0.130214,-1.2424
15.85,0,0,0,0,0,0,-2.52634,-0.704688,-0.936008
15.95,0,0,0,0,0,0,-2.2008,-0.0344686,-1.60623
16.045,0,0,0,0,0,0,-2.60294,-0.762135,-1.2424
16.14,0,0,0,0,0,0,-2.98592,-0.4366,-1.01261
16.24,0,0,0,0,0,0,-2.2008,-0.934477,-1.05091
16.34,0,0,0,0,0,0,-2.2391,-0.742986,-0.936008
16.435,0,0,0,0,0,0,-2.2008,-0.666389,-1.31899
16.533,0,0,0,0,0,0,-2.2391,-0.819582,-0.974307
16.634,0,0,0,0,0,0,-2.08591,-0.360003,-0.821114
16.73,0,0,0,0,0,0,-2.60294,-0.264258,-1.35729
16.827,0,0,0,0,0,0,-1.83697,-0.666389,-1.51048
16.925,0,0,0,0,0,0,-1.97102,-0.245109,-1.2807
17.02,0,0,0,0,0,0,-1.83697,-1.01108,-1.35729
17.12,0,0,0,0,0,0,-2.08591,-0.4366,-1.31899
17.215,0,0,0,0,0,0,-2.16251,-0.360003,-0.859412
17.31,0,0,0,0,0,0,-2.00931,-0.398302,-1.47219
17.404,0,0,0,0,0,0,-2.08591,-0.551495,-1.1275
17.505,0,0,0,0,0,0,-1.49229,-0.628091,-0.782815
17.6,0,0,0,0,0,0,-1.64548,-0.474898,-1.2041
17.695,0,0,0,0,0,0,-1.64548,-0.896179,-0.667921
17.792,0,0,0,0,0,0,-1.72208,-0.245109,-1.1658
