time_s,acceleration_x,acceleration_y,acceleration_z
0.0,9.76739517,-0.0344686122,-0.0359996589
0.095,9.51845661,-0.0727667541,0.0022983947100000002
0.194,9.8822997,0.0804262059,-0.265789197
0.294,9.51845661,-0.24510873600000002,-0.380683917
0.389,9.55675485,-0.111064896,-0.0359996589
0.49,9.76739517,-0.39830169600000004,-0.495578637
0.587,9.671649570000001,-0.24510873600000002,-0.495578637
0.685,9.671649570000001,-0.0344686122,-0.342385677
0.78,9.671649570000001,0.04212796590000001,-0.304087437
0.88,9.51845661,-0.16851225600000003,-0.4189821570000001
0.976,9.63335133,-0.206810496,0.0022983947100000002
1.075,9.63335133,-0.111064896,-0.380683917
1.175,9.51845661,-0.321705216,-0.22749095700000002
1.27,9.51845661,-0.436599936,-0.11259623700000002
1.37,15.454674,-0.18766137600000002,1.95550578
1.47,66.5253378,-1.1259721800000002,-1.6445287800000001
1.57,63.404090100000005,-0.24510873600000002,-1.4530375800000002
1.664,66.5062083,1.8421414200000001,3.3342424200000003
1.765,70.3935189,0.0804262059,1.6874181000000001
1.86,76.7893446,-1.64299842,1.6874181000000001
1.96,83.6638983,-0.589792896,0.07889486490000001
2.056,92.3958774,-0.360003456,1.57252338
2.15,100.151271,2.07193086,1.4576286600000001
2.25,105.149466,3.87194814,-0.706218957
2.345,106.96824000000001,11.876280300000001,-2.3338971
2.44,113.057307,16.6253013,-3.8275284600000004
2.538,114.80054400000002,13.5039555,-2.9275198200000005
2.636,118.80204300000001,6.84006174,0.232087923
2.735,124.91073000000002,2.3017203000000004,1.5342251400000002
2.829,132.034752,-2.17917378,-1.6828270200000002
2.925,131.364729,-6.564322260000001,-5.053072140000001
3.02,131.230332,-3.5962086600000003,0.787412403
3.115,128.607138,4.48471998,2.56827762
3.212,130.176738,7.127298540000001,-0.0742980951
3.31,101.14698600000001,8.697526380000001,-2.0275111800000003
3.405,94.6746423,2.8761939,-4.076467020000001
3.5,38.184640200000004,5.61451806,-11.5063452
3.6,27.9973476,3.89109726,-1.6636779
3.69,28.705825800000003,-3.51961218,-3.6168881400000004
3.789,27.4803606,-2.1983229000000004,-4.22965998
3.889,24.741997200000004,-1.8153405,-4.3445547
3.985,23.650536600000002,0.21447014400000003,-7.963738380000001
4.08,21.6206514,-0.321705216,-7.75309806
4.175,21.448387800000003,-0.762134976,-3.6168881400000004
4.27,19.858971600000004,-0.45574905600000004,-5.41690542
4.369,18.5185332,-3.7685507400000002,-1.81687086
4.461,17.886573,0.291066624,-6.1254228600000005
4.56,15.722781300000001,0.444259584,-3.7126337400000002
4.655,15.512160600000001,-3.3472701000000002,-0.974306637
4.75,13.4631459,0.137873664,-5.62754574
4.85,12.6780516,-2.40896322,-4.938177420000001
4.95,12.5631765,-1.0302265800000001,-3.1190110200000003
5.047,12.9652884,-2.60045442,-0.4764295170000001
5.145,12.4483014,-3.4238665800000003,-7.35096654
5.242,11.107863000000002,-2.0068317,-0.22749095700000002
5.34,10.5141618,-0.685538496,-6.527554380000001
5.44,10.2652821,0.8463911040000001,-5.436054540000001
5.54,9.40356189,-2.63875266,0.902307123
5.635,9.32696541,-2.83024386,-5.81903694
5.735,7.35460605,1.49745726,-2.73602862
5.834,7.22056221,-1.18341954,-1.9892129400000003
5.929,7.699290210000001,-4.03663842,-1.72112526
6.055,4.78862397,-2.23662114,-4.1913617400000005
6.125,4.90351869,-5.79835746,-5.436054540000001
6.225,4.98011517,-1.5089545800000002,-5.1105195000000005
6.32,3.96521181,-1.0493757,0.576772083
6.415,3.96521181,-8.230295700000001,-3.8275284600000004
6.515,4.19500125,-6.27708546,-2.7168794999999997
6.61,4.08010653,-2.9642877000000003,-1.79772174
6.708,3.3715890900000005,-3.04088418,-4.938177420000001
6.805,4.19500125,-3.8259981000000005,-3.6743355
6.905,3.0077558100000004,-4.55366466,-1.10835342
7.0,1.82051037,-3.4238665800000003,-3.21475662
7.1,2.2992383700000003,-4.2472787400000005,-2.39134446
7.195,2.06944893,-1.83448962,-5.7807387
7.295,0.843902307,-5.76005922,-2.2764497400000003
7.394,1.15029117,-5.30048034,-2.6594321400000003
7.49,2.41413309,-1.1259721800000002,-4.11476526
7.59,2.33753661,-3.30897186,-2.16155502
7.686,1.5141244500000002,-3.7302524999999997,-4.49774766
7.785,0.0970863327,-1.3940598600000003,-1.79772174
7.885,0.288577827,-3.5387613,-4.076467020000001
7.98,-0.38164137300000006,-1.87278786,-5.16796686
8.076,-0.917816733,-2.8110947399999997,-3.25305486
8.178,-3.0625152300000003,-3.4238665800000003,-3.52114254
8.275,-5.168918430000001,-4.630261140000001,0.0405968211
